time,power,generation
43962.28125,4.45,1.1
43962.29167,3.602,1
43962.30208,4.64,1.1
43962.3125,5.372,1.4
43962.32292,5.963,1.5
43962.33333,8.654,2.2
43962.34375,13.857,3.5
43962.35417,18.084,4.6
43962.36458,25.168,6.1
43962.375,26.93,6.9
43962.38542,30.308,7.7
43962.39583,25.887,6.5
43962.40625,16.021,4
43962.41667,28.63,7.5
43962.42708,33.639,8.5
43962.4375,36.076,9.1
43962.44792,36.526,9.3
43962.45833,37.085,9.4
43962.46875,38.031,9.4
43962.47917,38.761,9.8
43962.48958,38.956,9.9
43962.5,38.798,9.9
43962.51042,38.27,5.8
43962.52083,36.672,9.4
43962.53125,38.142,9.6
43962.54167,37.362,9.5
43962.55208,36.7,9.3
43962.5625,36.056,9.2
43962.57292,35.092,8.9
43962.58333,33.891,8.4
43962.59375,32.492,8.2
43962.60417,31.01,7.8
43962.61458,29.349,7.5
43962.625,27.557,7
43962.63542,25.608,6.3
43962.64583,23.556,6
43962.65625,21.429,5.4
43962.66667,18.945,4.8
43962.67708,16.521,4.2
43962.6875,14.161,3.5
43962.69792,11.724,3
43962.70833,9.364,2.4
43962.71875,7.122,1.8
43962.72917,5.171,1.3
43962.73958,3.59,0.9
43962.75,2.516,0.6
43962.76042,1.78,0.5
43962.77083,1.206,0.3
43962.78125,0.65,0.2
43962.79167,0.259,0
43962.80208,0.115,0.1
43962.8125,0.052,0
43962.82292,0,0
43962.83333,0,0
43962.84375,0,0
43962.85417,0,0
43962.86458,0,0
43962.875,0,0
43962.88542,0,0
43962.89583,0,0
43962.90625,0,0
43962.91667,0,0
43962.92708,0,0
43962.9375,0,0
43962.94792,0,0
43962.95833,0,0
43962.96875,0,0
43962.97917,0,0
43962.98958,0,0
43963,0,0
43963.01042,0,0
43963.02083,0,0
43963.03125,0,0
43963.04167,0,0
43963.05208,0,0
43963.0625,0,0
43963.07292,0,0
43963.08333,0,0
43963.09375,0,0
43963.10417,0,0
43963.11458,0,0
43963.125,0,0
43963.13542,0,0
43963.14583,0,0
43963.15625,0,0
43963.16667,0,0
43963.17708,0,0
43963.1875,0,0
43963.19792,0,0
43963.20833,0.221,0
43963.21875,0.672,0.2
